KODJAZ,AKRCIS,KODCIS,CHODNOTA,ZKRTEXT,TEXT,ADMPLOD,ADMNEPO,ZEME3
"CS","CZEMALFA",1186,"GR","Řecko","Řecká republika","01.01.1900","09.09.9999","GRC"
"CS","CZEMALFA",1186,"GS","Jižní Georgie a Jižní Sandwichovy ostrovy","Jižní Georgie a Jižní Sandwichovy ostrovy","01.01.1994","09.09.9999","SGS"
"CS","CZEMALFA",1186,"GT","Guatemala","Guatemalská republika","01.01.1900","09.09.9999","GTM"
"CS","CZEMALFA",1186,"GU","Guam","Teritorium Guam","01.01.1900","09.09.9999","GUM"
"CS","CZEMALFA",1186,"GW","Guinea-Bissau","Republika Guinea-Bissau","01.01.1900","09.09.9999","GNB"
"CS","CZEMALFA",1186,"GY","Guyana","Guyanská kooperativní republika","01.01.1900","09.09.9999","GUY"
"CS","CZEMALFA",1186,"HK","Hongkong","Zvláštní administrativní oblast Čínské lidové republiky Hongkong","01.01.1900","09.09.9999","HKG"
"CS","CZEMALFA",1186,"HM","Heardův ostrov a MacDonaldovy ostrovy","Heardův ostrov a MacDonaldovy ostrovy","01.01.1900","09.09.9999","HMD"
"CS","CZEMALFA",1186,"HN","Honduras","Honduraská republika","01.01.1900","09.09.9999","HND"
"CS","CZEMALFA",1186,"HR","Chorvatsko","Chorvatská republika","01.01.1900","09.09.9999","HRV"
"CS","CZEMALFA",1186,"HT","Haiti","Republika Haiti","01.01.1900","09.09.9999","HTI"
"CS","CZEMALFA",1186,"HU","Maďarsko","Maďarsko","01.01.1900","09.09.9999","HUN"
"CS","CZEMALFA",1186,"ID","Indonésie","Indonéská republika","01.01.1900","09.09.9999","IDN"
"CS","CZEMALFA",1186,"IE","Irsko","Irsko","01.01.1900","09.09.9999","IRL"
"CS","CZEMALFA",1186,"IL","Izrael","Stát Izrael","01.01.1900","09.09.9999","ISR"
"CS","CZEMALFA",1186,"IM","Man","Ostrov Man","29.03.2006","09.09.9999","IMN"
"CS","CZEMALFA",1186,"IN","Indie","Indická republika","01.01.1900","09.09.9999","IND"
"CS","CZEMALFA",1186,"IO","Britské indickooceánské území","Britské území v Indickém oceánu","01.01.1900","09.09.9999","IOT"
"CS","CZEMALFA",1186,"IQ","Irák","Irácká republika","01.01.1900","09.09.9999","IRQ"
"CS","CZEMALFA",1186,"IR","Írán","Íránská islámská republika","01.01.1900","09.09.9999","IRN"
"CS","CZEMALFA",1186,"IS","Island","Islandská republika","01.01.1900","09.09.9999","ISL"
"CS","CZEMALFA",1186,"IT","Itálie","Italská republika","01.01.1900","09.09.9999","ITA"
"CS","CZEMALFA",1186,"JE","Jersey","Bailiwick Jersey","29.03.2006","09.09.9999","JEY"
"CS","CZEMALFA",1186,"JM","Jamajka","Jamajka","01.01.1900","09.09.9999","JAM"
"CS","CZEMALFA",1186,"JO","Jordánsko","Jordánské hášimovské království","01.01.1900","09.09.9999","JOR"
"CS","CZEMALFA",1186,"JP","Japonsko","Japonsko","01.01.1900","09.09.9999","JPN"
"CS","CZEMALFA",1186,"KE","Keňa","Keňská republika","01.01.1900","09.09.9999","KEN"
"CS","CZEMALFA",1186,"KG","Kyrgyzstán","Kyrgyzská republika","01.01.1900","09.09.9999","KGZ"
"CS","CZEMALFA",1186,"KH","Kambodža","Kambodžské království","01.01.1900","09.09.9999","KHM"
"CS","CZEMALFA",1186,"KI","Kiribati","Republika Kiribati","01.01.1900","09.09.9999","KIR"
"CS","CZEMALFA",1186,"KM","Komory","Komorský svaz","01.01.1900","09.09.9999","COM"
"CS","CZEMALFA",1186,"KN","Svatý Kryštof a Nevis","Federace Svatý Kryštof a Nevis","01.01.1900","09.09.9999","KNA"
"CS","CZEMALFA",1186,"KP","Korejská lidově demokratická republika","Korejská lidově demokratická republika","01.01.1900","09.09.9999","PRK"
"CS","CZEMALFA",1186,"KR","Korejská republika","Korejská republika","01.01.1900","09.09.9999","KOR"
"CS","CZEMALFA",1186,"KW","Kuvajt","Kuvajtský stát","01.01.1900","09.09.9999","KWT"
"CS","CZEMALFA",1186,"KY","Kajmanské ostrovy","Kajmanské ostrovy","01.01.1900","09.09.9999","CYM"
"CS","CZEMALFA",1186,"KZ","Kazachstán","Republika Kazachstán","01.01.1900","09.09.9999","KAZ"
"CS","CZEMALFA",1186,"LA","Laos","Laoská lidově demokratická republika","01.01.1900","09.09.9999","LAO"
"CS","CZEMALFA",1186,"LB","Libanon","Libanonská republika","01.01.1900","09.09.9999","LBN"
"CS","CZEMALFA",1186,"LC","Svatá Lucie","Svatá Lucie","01.01.1900","09.09.9999","LCA"
"CS","CZEMALFA",1186,"LI","Lichtenštejnsko","Lichtenštejnské knížectví","01.01.1900","09.09.9999","LIE"
"CS","CZEMALFA",1186,"LK","Šrí Lanka","Šrílanská demokratická socialistická republika","01.01.1900","09.09.9999","LKA"
"CS","CZEMALFA",1186,"LR","Libérie","Liberijská republika","01.01.1900","09.09.9999","LBR"
"CS","CZEMALFA",1186,"LS","Lesotho","Lesothské království","01.01.1900","09.09.9999","LSO"
"CS","CZEMALFA",1186,"LT","Litva","Litevská republika","01.01.1900","09.09.9999","LTU"
"CS","CZEMALFA",1186,"LU","Lucembursko","Lucemburské velkovévodství","01.01.1900","09.09.9999","LUX"
"CS","CZEMALFA",1186,"LV","Lotyšsko","Lotyšská republika","01.01.1900","09.09.9999","LVA"
"CS","CZEMALFA",1186,"LY","Libye","Libyjský stát","01.01.1900","09.09.9999","LBY"
"CS","CZEMALFA",1186,"MA","Maroko","Marocké království","01.01.1900","09.09.9999","MAR"
